"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 06:50:21,FALSE,NA,"987584307295391744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmarHaragaa",210,TRUE,FALSE,NA,NA
"RT @HopitalC: Tu aimes le couvercle chimique parisien en noir et blanc ? C’est un tableau d’école couvert de craie.. https://t.co/7e8ETvdct0",FALSE,0,NA,2018-04-21 06:49:34,FALSE,NA,"987584107906551808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aele21",6,TRUE,FALSE,NA,NA
"RT @Monpsyvite: @the_real_jerome Tout le monde connaît ce tableau magnifique « LA VEUVE-CHAUSSETTE. Un mari nigaud quitte sa femme car elle…",FALSE,0,NA,2018-04-21 06:48:49,FALSE,NA,"987583918978236416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","the_real_jerome",4,TRUE,FALSE,NA,NA
"RT @Monpsyvite: @the_real_jerome Tout le monde connaît ce tableau magnifique « LA VEUVE-CHAUSSETTE. Un mari nigaud quitte sa femme car elle…",FALSE,0,NA,2018-04-21 06:48:31,FALSE,NA,"987583843342471168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carobrodandroll",4,TRUE,FALSE,NA,NA
"RT @Club_Parieur: Avez vous essayé le Tableau Excel de Calcul de Value Bet Buteur que je vous ai transmis aujourd’hui ?

Si oui, trouvez vo…",FALSE,0,NA,2018-04-21 06:48:22,FALSE,NA,"987583805786656768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brieuc05",1,TRUE,FALSE,NA,NA
"Tu aimes le couvercle chimique parisien en noir et blanc ? C’est un tableau d’école couvert de craie.. https://t.co/7e8ETvdct0",FALSE,6,NA,2018-04-21 06:47:20,FALSE,NA,"987583547778256896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","HopitalC",6,FALSE,FALSE,NA,NA
"@the_real_jerome Tout le monde connaît ce tableau magnifique « LA VEUVE-CHAUSSETTE. Un mari nigaud quitte sa femme… https://t.co/QJZecbbZDF",FALSE,6,"the_real_jerome",2018-04-21 06:46:55,TRUE,"987577753242427392","987583442148786176","124389421","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Monpsyvite",4,FALSE,FALSE,NA,NA
"Le tableau du jour par Narcisse Diaz de la Peña ( Bordeaux 1807 - Menton 1876 ) https://t.co/wOMtxjqYE6",FALSE,0,NA,2018-04-21 06:46:33,FALSE,NA,"987583348854968321",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MO_CAFFIER",0,FALSE,FALSE,NA,NA
"@Statsdufoot Oui mais ce genre de chiffre ne veut rien dire on s appercois qu il y a 4 club de tête et les autres r… https://t.co/Z8jGPwjwZu",FALSE,0,"Statsdufoot",2018-04-21 06:46:18,TRUE,"987432943143538688","987583287261581312","778118551","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Domnomblot",0,FALSE,FALSE,NA,NA
"RT @ParlonsFoot237: OFFICIEL ! Henan Jianye, le club de C. Bassogog <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> a annoncé la résiliation du contrat de son entraîneur principal Drag…",FALSE,0,NA,2018-04-21 06:43:01,FALSE,NA,"987582459175931905",NA,"<a href=""http://rainbowfootball.com"" rel=""nofollow"">rainbow sports</a>","RainbowSports1",8,TRUE,FALSE,NA,NA
