"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @cbw: <U+30AE><U+30EA><U+30B7><U+30E3><U+304B><U+3089><U+30AB><U+30CA><U+30C0><U+306B><U+79FB><U+4F4F><U+3057><U+30CF><U+30EF><U+30A4><U+30A2><U+30F3><U+30D4><U+30B6><U+3092><U+767A><U+660E><U+3057><U+305F><U+7537><U+306E><U+51A5><U+798F><U+3092><U+7948><U+308B><U+3002><U+308F><U+305F><U+3057><U+306F><U+30D1><U+30A4><U+30CA><U+30C3><U+30D7><U+30EB><U+5165><U+308A><U+597D><U+304D><U+3067><U+3059>
BBC News - Hawaiian pizza inventor Sam Panopoulos dies aged 83 https://t.co/RhVB…",FALSE,0,NA,2018-04-21 11:34:17,FALSE,NA,"987655761151995904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","youlikha",22,TRUE,FALSE,NA,NA
"RT @MacCocktail: Welcome to the Great Hawaiian Pizza Debate of 2018 https://t.co/jVkMOAo9RU",FALSE,0,NA,2018-04-21 11:33:22,FALSE,NA,"987655530188541952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DirtyDiningDSM",5,TRUE,FALSE,NA,NA
"RT @wenever940221: 180421 best of best in taipei #<U+C6EC><U+B514> #WENDY 

<U+ACB0><U+C2EC><U+D588><U+C5B4> <U+BAB8><U+C744> <U+BCF5><U+C81C><U+D560> <U+AC70><U+C57C><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4> https://t.co/MRoXCEGk6n",FALSE,0,NA,2018-04-21 11:31:54,FALSE,NA,"987655161731403776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",799,TRUE,FALSE,NA,NA
"RT @tiny_bubbles92: @sugarcho @danie_twt @RoyalBaekhyun_ Omg same! I just don't get why ppl hate Hawaiian Pizza <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7>",FALSE,0,NA,2018-04-21 11:30:40,FALSE,NA,"987654851122245638",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hoseokjin_fly",4,TRUE,FALSE,NA,NA
"f a v o u r i t e  f o o d :
pizza, chicken, hawaiian pizza, mango, chips, chupa chups, chocolate rolls, honey butt… https://t.co/jwCKPMCCRp",FALSE,0,"hypezzt",2018-04-21 11:30:27,TRUE,"987653416179519488","987654793995866112","903495105612464128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hypezzt",0,FALSE,FALSE,NA,NA
"RT @TaengableGirl: [<U+D504><U+B9AC><U+BDF0>] 180421 BOB <U+C6EC><U+B514>
#<U+B808><U+B4DC><U+BCA8><U+BCB3> #RedVelvet #Irene #<U+C544><U+C774><U+B9B0> #Seulgi #<U+C2AC><U+AE30> #Wendy #<U+C6EC><U+B514> #Yeri #<U+C608><U+B9AC> https://t.co/xTVBhlhmCP",FALSE,0,NA,2018-04-21 11:20:29,FALSE,NA,"987652285978177537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",354,TRUE,FALSE,NA,NA
"RT @todanfgkrry: <U+C57C><U+AD6C> <U+AD00><U+C2EC><U+BC16><U+C774><U+C57C><U+AE30><U+B85C> <U+B0A8><U+AE30><U+ACE0> <U+C2F6><U+B2E4>",FALSE,0,NA,2018-04-21 11:18:49,FALSE,NA,"987651867634155522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",2,TRUE,FALSE,NA,NA
"RT @wbluebell0221: 180421 #<U+C6EC><U+B514> #Wendy #<U+B808><U+B4DC><U+BCA8><U+BCB3> #RedVelvet https://t.co/CQ13vrgRkK",FALSE,0,NA,2018-04-21 11:17:23,FALSE,NA,"987651507611844609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",721,TRUE,FALSE,NA,NA
"<U+C720><U+C2A4><U+CF00> 4<U+C2DC><U+AC04> <U+C804><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,1,NA,2018-04-21 11:16:31,FALSE,NA,"987651288027418624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",0,FALSE,FALSE,NA,NA
"RT @wenever940221: 180421 best of best in taipei #<U+C6EC><U+B514> #WENDY

<U+C800><U+C5D0><U+AC90> <U+B3CC><U+CD9C> <U+D45C><U+B3C4> <U+C788><U+C5C8><U+C5B4><U+C694><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+314E><U+C8FD>...<U+C5EC>...<U+C918>...... https://t.co/SemOe5EWK7",FALSE,0,NA,2018-04-21 11:08:44,FALSE,NA,"987649330080174080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hawaiian__pizza",847,TRUE,FALSE,NA,NA
